Round,Opponent,Board,Line,Con,Dec,Lead,Tricks,Score_NS,Score_WE,Score,Result,"Cur. res.
VP table"
1,Hemant K Jalan - Ashish & Sukamal (42),1,NS,1,E,,-3,,150,,2.00,10.99
1,Hemant K Jalan - Ashish & Sukamal (42),2,NS,4,S,,=,,620,,9.00,14.59
1,Hemant K Jalan - Ashish & Sukamal (42),3,NS,5X,S,,-1,,,100,-3.00,13.53
1,Hemant K Jalan - Ashish & Sukamal (42),4,NS,3,S,,-3,,,300,2.00,14.25
1,Hemant K Jalan - Ashish & Sukamal (42),5,NS,6,E,,-1,,50,,10.00,17.12
1,Hemant K Jalan - Ashish & Sukamal (42),6,NS,2,E,,+2,,,170,10.00,19.06
2,Aditi Jhaveri - Suhrud Jhaveri (61),7,NS,3,N,,=,,140,,4.00,30.96
2,Aditi Jhaveri - Suhrud Jhaveri (61),8,NS,1,E,,+1,,,120,-1.00,30.52
2,Aditi Jhaveri - Suhrud Jhaveri (61),9,NS,3,E,,-2,,200,,1.00,30.96
2,Aditi Jhaveri - Suhrud Jhaveri (61),10,NS,6,E,,=,,,1440,0.00,30.96
2,Aditi Jhaveri - Suhrud Jhaveri (61),11,NS,2,W,,-1,,50,,1.00,31.39
2,Aditi Jhaveri - Suhrud Jhaveri (61),12,NS,3,S,,+2,,660,,-4.00,29.56
3,Mangesh Shridhar Musale - Bhalchandra Shridhar Musale (89),13,WE,6,E,,=,,,1370,10.00,43.81
3,Mangesh Shridhar Musale - Bhalchandra Shridhar Musale (89),14,WE,4,N,,-1,,,50,2.00,44.48
3,Mangesh Shridhar Musale - Bhalchandra Shridhar Musale (89),15,WE,3,S,,-1,,,100,6.00,46.20
3,Mangesh Shridhar Musale - Bhalchandra Shridhar Musale (89),16,WE,4,E,,+1,,,650,0.00,46.20
3,Mangesh Shridhar Musale - Bhalchandra Shridhar Musale (89),17,WE,2,W,,+1,,,140,1.00,46.45
3,Mangesh Shridhar Musale - Bhalchandra Shridhar Musale (89),18,WE,3,S,,+1,,630,,-1.00,46.20
4,Subodh Maskara - Anirudhh & D Majumdar (15),19,NS,2,N,,+1,,140,,-1.00,55.70
4,Subodh Maskara - Anirudhh & D Majumdar (15),20,NS,4,E,,+1,,,650,1.00,56.20
4,Subodh Maskara - Anirudhh & D Majumdar (15),21,NS,2,S,,=,,110,,2.00,57.19
4,Subodh Maskara - Anirudhh & D Majumdar (15),22,NS,3,E,,-1,,100,,3.00,58.53
4,Subodh Maskara - Anirudhh & D Majumdar (15),23,NS,4,W,,+1,,,650,0.00,58.53
4,Subodh Maskara - Anirudhh & D Majumdar (15),24,NS,4,S,,+1,,450,,3.00,59.73
5,Abhijit Chakraborty - Prasun Kumar Mukhopadhyay (26),25,NS,3,S,,-1,,,50,-7.00,66.58
5,Abhijit Chakraborty - Prasun Kumar Mukhopadhyay (26),26,NS,3X,W,,+1,,,870,-13.00,62.61
5,Abhijit Chakraborty - Prasun Kumar Mukhopadhyay (26),27,NS,4,W,,=,,,420,1.00,62.84
5,Abhijit Chakraborty - Prasun Kumar Mukhopadhyay (26),28,NS,3,S,,=,,140,,-2.00,62.38
5,Abhijit Chakraborty - Prasun Kumar Mukhopadhyay (26),29,NS,4,E,,-1,,100,,6.00,63.90
5,Abhijit Chakraborty - Prasun Kumar Mukhopadhyay (26),30,NS,2,S,,=,,120,,2.00,64.49
6,Ravi Raman - Ivan Alphonso (49),31,WE,4,E,,+2,,,480,0.00,74.49
6,Ravi Raman - Ivan Alphonso (49),32,WE,4,S,,=,,130,,6.00,77.24
6,Ravi Raman - Ivan Alphonso (49),33,WE,2,W,,+2,,,170,-1.00,76.82
6,Ravi Raman - Ivan Alphonso (49),34,WE,3,E,,-1,,50,,-2.00,75.95
6,Ravi Raman - Ivan Alphonso (49),35,WE,4,E,,+1,,,150,-9.00,71.74
6,Ravi Raman - Ivan Alphonso (49),36,WE,6,W,,=,,,1370,1.00,72.16
7,D B Wadia - Abhay & Pradeep (65),1,WE,4,E,,=,,,420,4.00,84.06
7,D B Wadia - Abhay & Pradeep (65),2,WE,3,N,,=,,140,,-4.00,82.16
7,D B Wadia - Abhay & Pradeep (65),3,WE,2,E,,-1,,100,,-2.00,81.17
7,D B Wadia - Abhay & Pradeep (65),4,WE,2,W,,=,,,110,1.00,81.66
7,D B Wadia - Abhay & Pradeep (65),5,WE,5,S,,=,,650,,-2.00,80.70
7,D B Wadia - Abhay & Pradeep (65),6,WE,4X,S,,-3,,,500,12.00,86.06
8,Animesh Majumder - Arup Kumar Hudait (59),7,NS,5,S,,=,,600,,3.00,97.52
8,Animesh Majumder - Arup Kumar Hudait (59),8,NS,3,E,,-3,,150,,6.00,99.96
8,Animesh Majumder - Arup Kumar Hudait (59),9,NS,4,N,,=,,420,,1.00,100.31
8,Animesh Majumder - Arup Kumar Hudait (59),10,NS,3,S,,-1,,,100,-1.00,99.96
8,Animesh Majumder - Arup Kumar Hudait (59),11,NS,4,W,,=,,,420,-7.00,97.05
8,Animesh Majumder - Arup Kumar Hudait (59),12,NS,6,E,,-1,,50,,7.00,99.96
9,Subhash Gupta - Sapan Desai (63),13,NS,5,W,,=,,,600,-10.00,105.71
9,Subhash Gupta - Sapan Desai (63),14,NS,2,S,,-2,,,100,-4.00,104.42
9,Subhash Gupta - Sapan Desai (63),15,NS,2,S,,=,,90,,4.00,105.71
9,Subhash Gupta - Sapan Desai (63),16,NS,3,W,,+1,,,130,5.00,107.63
9,Subhash Gupta - Sapan Desai (63),17,NS,4,E,,+1,,,450,0.00,107.63
9,Subhash Gupta - Sapan Desai (63),18,NS,4,S,,+1,,650,,0.00,107.63
10,R G Bhiwandkar - Subhash A Dhakras (3),19,NS,3,S,,+1,,430,,2.00,118.62
10,R G Bhiwandkar - Subhash A Dhakras (3),20,NS,4,N,,=,,620,,10.00,122.55
10,R G Bhiwandkar - Subhash A Dhakras (3),21,NS,2,N,,+1,,140,,4.00,123.74
10,R G Bhiwandkar - Subhash A Dhakras (3),22,NS,4,W,,=,,,620,1.00,124.01
10,R G Bhiwandkar - Subhash A Dhakras (3),23,NS,2,S,,=,,110,,4.00,124.98
10,R G Bhiwandkar - Subhash A Dhakras (3),24,NS,4,N,,=,,420,,3.00,125.62
11,Shambhu Nath Ghosh - Biswajit Poddar (38),25,WE,3,S,,-1,,,50,9.00,139.52
11,Shambhu Nath Ghosh - Biswajit Poddar (38),26,WE,3,E,,=,,,600,8.00,142.00
11,Shambhu Nath Ghosh - Biswajit Poddar (38),27,WE,4,E,,-1,,50,,-7.00,139.87
11,Shambhu Nath Ghosh - Biswajit Poddar (38),28,WE,3,N,,+1,,170,,5.00,141.45
11,Shambhu Nath Ghosh - Biswajit Poddar (38),29,WE,1,S,,+2,,150,,0.00,141.45
11,Shambhu Nath Ghosh - Biswajit Poddar (38),30,WE,4X,N,,-1,,,100,4.00,142.51
12,Somesh Bhattacharya - Samir Basak (94),31,WE,4,S,,=,,620,,0.00,152.51
12,Somesh Bhattacharya - Samir Basak (94),32,WE,6,N,,-1,,,50,9.00,156.41
12,Somesh Bhattacharya - Samir Basak (94),33,WE,2,E,,=,,,110,1.00,156.76
