title,author,narrator,duration,released data,language,rating
Why Women Grow,Alice Vincent,Fiona Hampton,Length: 7 hrs and 41 mins,Release Date: 02-03-23,Language: English,0.0
Your Brain Is a Time Machine,Dean Buonomano,Aaron Abano,Length: 8 hrs and 51 mins,Release Date: 04-04-17,Language: English,4.5
How the World Really Works,Vaclav Smil,Stephen Perring,Length: 10 hrs and 8 mins,Release Date: 27-01-22,Language: English,4.5
The Case for Climate Capitalism,Tom Rand,Jim Seybert,Length: 10 hrs and 11 mins,Release Date: 17-03-20,Language: English,4.5
My Stroke of Insight,Jill Bolte Taylor,Jill Bolte Taylor,Length: 5 hrs and 43 mins,Release Date: 06-01-09,Language: English,4.5
"Altered Traits: Science Reveals How Meditation Changes Your Mind, Brain, and Body",Daniel Goleman,Daniel Goleman,Length: 9 hrs and 8 mins,Release Date: 15-09-17,Language: English,4.5
Scary Smart,Mo Gawdat,Mo Gawdat,Length: 11 hrs and 20 mins,Release Date: 30-09-21,Language: English,4.0
Stealing Fire,Steven Kotler,Fred Sanders,Length: 8 hrs and 24 mins,Release Date: 21-02-17,Language: English,4.5
Stuff Matters,Mark Miodownik,Daniel Weyman,Length: 6 hrs and 53 mins,Release Date: 06-09-18,Language: English,4.5
The Signal and the Noise,Nate Silver,Mike Chamberlain,Length: 16 hrs and 21 mins,Release Date: 27-09-12,Language: English,4.5
Numbers Don't Lie,Vaclav Smil,Stephen Perring,Length: 5 hrs and 45 mins,Release Date: 01-10-20,Language: English,4.0
Unlocking the Hidden History of DNA,Sam Kean,Professor Sam Kean,Length: 6 hrs and 19 mins,Release Date: 14-08-20,Language: English,4.0
Pathogenesis,Jonathan Kennedy,Jonathan Kennedy,Length: 9 hrs and 27 mins,Release Date: 13-04-23,Language: English,0.0
Game Theory,Brian Clegg,Nick Biadon,Length: 4 hrs and 48 mins,Release Date: 21-04-22,Language: English,0.0
Hit Refresh,Satya Nadella,Shridhar Solanki,Length: 7 hrs and 24 mins,Release Date: 26-09-17,Language: English,4.5
50 Ways to Rewire Your Anxious Brain,Catherine M. Pittman PhD,Erin deWard,Length: 5 hrs and 11 mins,Release Date: 01-12-23,Language: English,0.0
The Moral Animal,Robert Wright,Greg Thornton,Length: 16 hrs and 30 mins,Release Date: 29-06-10,Language: English,4.5
Being Digital,Nicholas Negroponte,Penn Jillette,Length: 1 hr and 12 mins,Release Date: 23-06-09,Language: English,5.0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Cassandra Campbell,Length: 12 hrs and 30 mins,Release Date: 03-02-11,Language: English,5.0
Life 3.0,Max Tegmark,Rob Shapiro,Length: 13 hrs and 29 mins,Release Date: 05-04-18,Language: English,4.5
The Botany of Desire,Michael Pollan,Michael Pollan,Length: 8 hrs and 32 mins,Release Date: 18-10-22,Language: English,3.0
Six Easy Pieces,Richard P. Feynman,uncredited,Length: 5 hrs and 19 mins,Release Date: 25-04-05,Language: English,3.0
There's No Such Thing as Bad Weather,Linda Åkeson McGurk,Ann Richardson,Length: 8 hrs and 39 mins,Release Date: 03-10-17,Language: English,4.0
Sacred Economics,Charles Eisenstein,Steve Wojtas,Length: 15 hrs and 5 mins,Release Date: 16-05-17,Language: English,5.0
Eve,Cat Bohannon,Cat Bohannon,Length: 15 hrs and 54 mins,Release Date: 12-10-23,Language: English,5.0
